Superclass,ROC_AUC,F1_Score,Precision,Recall,Support
NORM,0.9016450784281577,0.8121095627102355,0.7558139534883721,0.877466251298027,963
MI,0.8259157105030892,0.5300668151447662,0.6839080459770115,0.43272727272727274,550
STTC,0.8859619304648987,0.6515301085883515,0.6707317073170732,0.6333973128598849,521
CD,0.8305278893900914,0.5963302752293578,0.6914893617021277,0.5241935483870968,496
HYP,0.7559282537379345,0.2925531914893617,0.4824561403508772,0.2099236641221374,262
